modelId,category,dirId,annId,nPartsInitial,nParts
1941c37c6db30e481ef53acb6e05e27a,Remote,100013,13,41,40
11e7166d-8424-4edf-98cf-783b60539214,KitchenPot,100015,15,3,2
1497ccf1ac032d35ce1decf313ece97f,KitchenPot,100017,17,3,2
1fde7ce0a20f1502f54e1b6f41fdd78a,KitchenPot,100021,21,3,2
2266db44d8411d909d0d74633db4834d,KitchenPot,100023,23,3,2
2986eeb703150292732208e596b26ebc,KitchenPot,100025,25,3,2
3e2ba8bd0af27797154dddaf2978e13f,KitchenPot,100028,28,3,2
464e9b98-d955-4597-b746-4e8b73eab34b,Kettle,100031,31,3,2
4b6057e5d0da3057c9fd52eb49064d14,KitchenPot,100032,32,3,2
59d325f1-0de4-4ce9-9374-c1304d0cc81c,KitchenPot,100033,33,3,2
7c4df032-d578-4bfb-958e-a7c7c31d655f,KitchenPot,100038,38,3,2
8532629c-7612-49e9-88bd-cffb6e9aea2e,KitchenPot,100040,40,3,2
d1cf7685d598f3929405d3391cbdb79b,KitchenPot,100045,45,3,2
d362a777-a416-46e0-ba51-13466ea1da9b,KitchenPot,100047,47,3,2
f8439f99-4d73-47ff-bbb9-e38f54922933,KitchenPot,100051,51,3,2
u7db748c0-5e99-4ca2-8a00-ed8362c6e84a,KitchenPot,100054,54,3,2
u90e167cc-b75d-420e-bee9-9e7713761a19,KitchenPot,100055,55,3,2
uc0a60da7-cad9-43de-8a1c-5eeff26f9df3,KitchenPot,100056,56,3,2
uc541d7b9-362c-4cdf-9a52-ab07c0bd80d4,KitchenPot,100057,57,3,2
uc9c0aef7-2ff5-4af8-9d26-6748ca033be1,KitchenPot,100058,58,5,4
uf08b086a-5d74-495d-ad50-8c0daa97c679,KitchenPot,100060,60,3,2
16fca2d5847d0e94acaa1a48458c67ff,USB,100061,61,3,2
258881f3193bc87425ca7b309cff23fa,USB,100064,64,3,2
344cfc7a4e7d0522d9e7d3ab3915efa1,USB,100065,65,3,2
3624c1c5143f7f291f90eb8c44407fd5,USB,100068,68,3,2
3bdbf0f87f0122ece388e82e1c98d757,USB,100071,71,3,2
40b71ed4d98313de3fa8ab0cd6b86a52,USB,100072,72,3,2
441590e73bc1c5e82927226d23ff1d8,USB,100073,73,3,2
1ec5f0c85d802d44d92523497b5e5a5f,Cart,100075,75,5,3
51c7de5c-8725-48f1-a819-13165b876ee4,USB,100078,78,3,2
521b6693028171b68a04632e06812aec,USB,100079,79,3,2
606b6f93d0bf24b8130e3f9e914c5c0d,USB,100082,82,3,2
2f3f2f89bedb2eebc53e0f0bcac3841a,Cart,100084,84,3,2
73b486d93d872daf89a76a7d676244eb,USB,100085,85,3,2
77e1fae66a95d73ac309d24d446c1721,USB,100086,86,3,2
7bb4ad8d84187c7d1f5e1c31bbdc9621,USB,100087,87,3,2
86e109b6f611de813782836b72b4a2aa,USB,100092,92,3,2
97c1cde6736fab49f68b877f0cbc1f72,USB,100095,95,3,2
ae475a85bc85451e35b553947f23c4ed,USB,100103,103,3,2
b65a762df973c6fbd3183f83820325d7,USB,100106,106,3,2
c2ba1c5587b44731e15526ded1d4961a,USB,100108,108,3,2
c4d967819267c7571dc2053392a6e6f,USB,100109,109,3,2
c952899bbbca2e0c57ac0b4e44f0b77,USB,100113,113,3,2
ca44c1b39b29459ddfe89dd0e8aa2688,USB,100116,116,3,2
de893096044e36f7600107759387361a,USB,100123,123,3,2
e60749e210d6d6f4c592e3ff64aca318,USB,100128,128,3,2
15b5c54a8ddc84353a5acb1c5cbd19ff,Box,100129,129,5,4
f8e33792066cceec9d46068d27fb8249,USB,100133,133,3,2
26f22853a75c23ee103e42d04ec345ab,Box,100141,141,3,2
2d432156b924a37d467ca2ad6571afff,Pliers,100142,142,3,2
2f4b18402dee61003f7c6295b60afd1b,Pliers,100144,144,3,2
3778c94f6a14bdf2ef377a5b07a342c0,Pliers,100146,146,3,2
63a5e18d-7f48-443e-95f0-48727a00e5be,Pliers,100150,150,3,2
33b1e78a6d49c2d67aa983983f9bf36,Box,100154,154,6,5
3abe53cf05d6a45e9f6511f1884e2d17,Box,100162,162,6,5
b594ae363274269d75e36e88b6617f01,Pliers,100172,172,3,2
51c09c1d065b2f3ff2792e4b1535c6c3,Box,100174,174,4,2
d9d286f6-e5cb-4d2b-b5f5-be35e089f133,Pliers,100178,178,3,2
e0043488-daa8-42ed-9e8c-a3bfe0f14373,Pliers,100179,179,3,2
e326255b95f29b5e67af732d65fe42a1,Pliers,100180,180,3,2
ee3229daab48b2f3bfa59e044d401be9,Pliers,100182,182,3,2
uf85f3025-1643-4cef-b3ad-20a49f60a8f3,Pliers,100188,188,3,2
5403ad16abe0aa86dd9b060ffea52391,Box,100189,189,4,2
549813be-3bd8-47dd-9a49-b51432b2f14c,Box,100191,191,3,2
59af77ad277cf2806ae51efdae196e9a,Box,100194,194,8,7
622026621d781235889463094c9fcbb0,Box,100197,197,6,5
6c0d654636fc54545c0af2849a181c0,Box,100202,202,6,5
802f6cfeb6f41f16a59ff8378a27445f,Box,100214,214,5,4
952e325fe026ab9c48e2701b91d7249c,Box,100221,221,3,2
a13418f2-7db5-4c2e-9219-085ebcbcbab3,Box,100224,224,6,5
af4cb94c847d35c0d619cf3eef078374,Box,100234,234,4,3
c7a2224b009756cc226245d28c34a910,Box,100243,243,3,2
d2200aed9cbb4cacb38d5f389c7b61db,Box,100247,247,3,2
133c16fc6ca7d77676bb31db0358e9c6,Suitcase,100248,248,3,2
1b7eab0f-98af-49fd-a5f1-82c4f3598f62,Suitcase,100249,249,4,2
200065ca496c39086372ead55db87fa8,Remote,100269,269,46,45
2053bdd83749adcc1e5c09d9fe5c0c76,Remote,100270,270,52,47
12f86fe69336131b71df0fdd633b5540,Printer,100279,279,15,13
04569f2f-3e07-4655-9337-bfa41a5ccbc0,WashingMachine,100282,282,11,10
0d31000f-e876-4751-876d-efa6a61fa9b2,WashingMachine,100283,283,13,12
0d31000f-e876-4751-876d-efa6a61fa9b2,WashingMachine,103361,283,13,12
0d31000f-e876-4751-876d-efa6a61fa9b2,WashingMachine,103369,283,13,12
0d31000f-e876-4751-876d-efa6a61fa9b2,WashingMachine,103425,283,13,12
0d31000f-e876-4751-876d-efa6a61fa9b2,WashingMachine,103452,283,13,12
0d31000f-e876-4751-876d-efa6a61fa9b2,WashingMachine,103480,283,13,12
0d31000f-e876-4751-876d-efa6a61fa9b2,WashingMachine,103490,283,13,12
0d31000f-e876-4751-876d-efa6a61fa9b2,WashingMachine,103508,283,13,12
0d31000f-e876-4751-876d-efa6a61fa9b2,WashingMachine,103518,283,13,12
0d31000f-e876-4751-876d-efa6a61fa9b2,WashingMachine,103521,283,13,12
0d31000f-e876-4751-876d-efa6a61fa9b2,WashingMachine,103528,283,13,12
0d31000f-e876-4751-876d-efa6a61fa9b2,WashingMachine,103775,283,13,12
0d31000f-e876-4751-876d-efa6a61fa9b2,WashingMachine,103776,283,13,12
0d31000f-e876-4751-876d-efa6a61fa9b2,WashingMachine,103778,283,13,12
0d31000f-e876-4751-876d-efa6a61fa9b2,WashingMachine,103781,283,13,12
050b64c5-20a5-4c0b-8427-4ee42c269c00,Lighter,100285,285,3,2
2728e54436010242c241649791db938a,Lighter,100289,289,6,3
35c19cdeb5d129cad25169d37940fb64,Lighter,100292,292,4,3
3886e56747acb7301e32f79edfad8027,Lighter,100293,293,4,3
3b12bd5cc1663a8cd8d03ca4865da5b6,Lighter,100294,294,4,3
3bebd539-4198-4eee-ae17-daaed2047499,Lighter,100295,295,4,3
41abf5d7d23913edd0dfaecedb083fcc,Lighter,100309,309,6,4
47c0184e14ba995bd02af02d1e7cd210,Lighter,100310,310,4,3
4a30871f64a2fcd5eb69804478f9c547,Lighter,100311,311,5,3
4e5c1fef7d4d060d7414a1fa2cd1e462,Lighter,100313,313,4,3
6b50aec4-85ed-4022-8388-a1c49541799f,Lighter,100317,317,4,3
6e02e9b5c715bafebcc65fd5536f28dd,Lighter,100318,318,6,4
75a96dbe55e4ed3738990fc2112cb35a,Lighter,100319,319,4,3
881a4806cf6b11426a06a4e69704544a,Lighter,100320,320,3,2
895d8de0-8d8b-42db-8f39-8a63b83eab56,Lighter,100321,321,6,4
bd6bbd6c71a6ddc56c8a83eb82bedb0,Lighter,100330,330,3,2
c8c981b21703805cdd4a7f133d4b9139,Lighter,100334,334,4,3
c914f56df01a8939fc7516198959a6ec,Lighter,100335,335,6,4
d4175ef6bd8226c753d040168a517ac7,Lighter,100340,340,4,3
dc2c35e7-dc6c-4621-bb81-c99d9f068634,Lighter,100343,343,4,3
u2155fc65-28e9-4ebb-95ca-6509ee937fc8,Lighter,100348,348,4,3
u7a32a94d-41d2-4f02-b21c-489a6646b9a5,Lighter,100350,350,4,3
uc6d6ef1f-3438-45f3-b438-1fe668ae24cb,Lighter,100354,354,6,4
uedb442d6-1de2-461b-99a1-44847c3c6fa1,Lighter,100355,355,4,3
3f1918f829264fcd89a2b0e9fb51847a,Refrigerator,10036,10036,11,3
009f75cf-8c87-4eaf-b7ff-c0e59a5bad3f,Switch,100366,366,4,3
01e2c09a-a2c1-4ce3-aa9c-0b4d293d8eb8,Switch,100367,367,6,5
05449c4f-8af8-4fe5-bcd9-423bf1e982b6,Switch,100368,368,5,4
25182f6e03375c9e7b6fd5468f603b31,Remote,100385,385,43,41
2c6493d31849c15a75f1efca97bee05a,Remote,100392,392,44,43
28f2a5df4a926c3e140a527375fd6757,Remote,100394,394,35,34
